crawled_count,saved_count,category,virtual_web_count,target_len,timestamp
1290,10,education,105,10.177083333333334,1703554387256420033
1290,3,Agriculture,105,10.177083333333334,1703554387256420033
1290,5,technology,105,10.177083333333334,1703554387256420033
1290,2,transport,105,10.177083333333334,1703554387256420033
1290,30,climate_environment,105,10.177083333333334,1703554387256420033
1290,43,finance,105,10.177083333333334,1703554387256420033
1300,7,health,105,10.214933993399342,1703554403977525986
1300,11,education,105,10.214933993399342,1703554403977525986
1300,3,Agriculture,105,10.214933993399342,1703554403977525986
1300,5,technology,105,10.214933993399342,1703554403977525986
1300,2,transport,105,10.214933993399342,1703554403977525986
1300,30,climate_environment,105,10.214933993399342,1703554403977525986
1300,43,finance,105,10.214933993399342,1703554403977525986
1310,7,health,105,10.212826797385622,1703554412906125492
1310,12,education,105,10.212826797385622,1703554412906125492
1310,3,Agriculture,105,10.212826797385622,1703554412906125492
1310,5,technology,105,10.212826797385622,1703554412906125492
1310,2,transport,105,10.212826797385622,1703554412906125492
1310,30,climate_environment,105,10.212826797385622,1703554412906125492
1310,43,finance,105,10.212826797385622,1703554412906125492
1320,8,health,105,9.997248427672957,1703554422540507427
1320,12,education,105,9.997248427672957,1703554422540507427
1320,4,Agriculture,105,9.997248427672957,1703554422540507427
1320,5,technology,105,9.997248427672957,1703554422540507427
1320,2,transport,105,9.997248427672957,1703554422540507427
1320,32,climate_environment,105,9.997248427672957,1703554422540507427
1320,43,finance,105,9.997248427672957,1703554422540507427
1330,8,health,126,9.997248427672957,1703554431764547146
1330,12,education,126,9.997248427672957,1703554431764547146
1330,4,Agriculture,126,9.997248427672957,1703554431764547146
1330,5,technology,126,9.997248427672957,1703554431764547146
1330,2,transport,126,9.997248427672957,1703554431764547146
1330,32,climate_environment,126,9.997248427672957,1703554431764547146
1330,43,finance,126,9.997248427672957,1703554431764547146
1340,8,health,126,10.025311526479753,1703554440979581011
1340,12,education,126,10.025311526479753,1703554440979581011
1340,4,Agriculture,126,10.025311526479753,1703554440979581011
1340,5,technology,126,10.025311526479753,1703554440979581011
1340,2,transport,126,10.025311526479753,1703554440979581011
1340,33,climate_environment,126,10.025311526479753,1703554440979581011
1340,43,finance,126,10.025311526479753,1703554440979581011
1350,8,health,126,10.025311526479753,1703554450285910378
1350,12,education,126,10.025311526479753,1703554450285910378
1350,4,Agriculture,126,10.025311526479753,1703554450285910378
1350,5,technology,126,10.025311526479753,1703554450285910378
1350,2,transport,126,10.025311526479753,1703554450285910378
1350,33,climate_environment,126,10.025311526479753,1703554450285910378
1350,43,finance,126,10.025311526479753,1703554450285910378
1360,8,health,126,10.025311526479753,1703554458650351842
1360,12,education,126,10.025311526479753,1703554458650351842
1360,4,Agriculture,126,10.025311526479753,1703554458650351842
1360,5,technology,126,10.025311526479753,1703554458650351842
1360,2,transport,126,10.025311526479753,1703554458650351842
1360,33,climate_environment,126,10.025311526479753,1703554458650351842
1360,43,finance,126,10.025311526479753,1703554458650351842
1370,8,health,126,10.025311526479753,1703554467599575268
1370,12,education,126,10.025311526479753,1703554467599575268
1370,4,Agriculture,126,10.025311526479753,1703554467599575268
1370,5,technology,126,10.025311526479753,1703554467599575268
1370,2,transport,126,10.025311526479753,1703554467599575268
1370,33,climate_environment,126,10.025311526479753,1703554467599575268
1370,43,finance,126,10.025311526479753,1703554467599575268
1380,8,health,126,10.025311526479753,1703554477120044161
1380,12,education,126,10.025311526479753,1703554477120044161
1380,4,Agriculture,126,10.025311526479753,1703554477120044161
1380,5,technology,126,10.025311526479753,1703554477120044161
1380,2,transport,126,10.025311526479753,1703554477120044161
1380,33,climate_environment,126,10.025311526479753,1703554477120044161
1380,43,finance,126,10.025311526479753,1703554477120044161
1390,8,health,126,10.025311526479753,1703554486755534577
1390,12,education,126,10.025311526479753,1703554486755534577
